Moto G5 Plus;32/64 GB;Lunar Grey, Fine Gold;2/4 GB RAM; 32 GB;5.2
Grasp WX404;512 MB;Black;ram;2.2
Rambler;512 MB;Black;ram;2.2
CHARM;512 MB;Golden Bronze, Cabernet;ram;2.8
ES400;256 MB RAM;Black;1 GB Flash;3.0
DROID X2;8 GB;Black;512 MB RAM;4.3
DROID X;6.5 GB;Black;512 MB RAM;4.3
MILESTONE XT720;512 MB;Black Slate;256 MB RAM;3.7
XT720 MOTOROI;512 MB;Gentle Black;256 MB RAM;3.7
Quench XT5 XT502;512 MB;Brown;256 MB RAM;3.2
Quench XT3 XT502;512 MB;Brown;256 MB RAM;3.2
FlipOut;512 MB;White, Fairway Green, Poppy Red, Raspberry Crush, Brilliant Blue, Licorice, Saffron;512 MB RAM;2.8
WX295;512 MB;Black;ram;1.8
WX290;512 MB;Black;ram;1.77
WX265;512 MB;Black;ram;1.77
WX260;512 MB;Black;ram;1.8
WX181;512 MB;Black;ram;1.5
WX161;512 MB;Black;ram;1.32
QUENCH;512 MB;Black, White, Licorice, Purple;256 MB RAM;3.1
BACKFLIP;512 MB;Platinum Silver;256 MB RAM;3.1
XT800 ZHISHANG;512 MB RAM;Black;1 GB;3.7
XT701;512 MB;Black;256 MB RAM;3.7
MT710 ZHILING;4 GB;Black, Red;256 MB RAM;3.7
MOTO XT702;512 MB;Black;256 MB RAM;3.7
MILESTONE;133 MB;Black;256 MB RAM;3.7
WX395;10 dialed;Black;10 received;1.75
WX390;10 dialed;Black;10 received;1.8
WX288;10 dialed;Black;10 received;1.8
WX280;10 dialed;Black;10 received;1.8
WX180;10 dialed;Black;10 received;1.5
WX160;10 dialed;Black;10 received;1.3
Motocubo A45;10 dialed;White;ram;2.5
DEXT MB220;1 GB;Midnight Titanium, Winter White;256 MB RAM;3.1
ROKR ZN50;20 dialed;Black;20 received;3.2
Karma QA1;20 dialed;Black;ram;2.5
L800t;20 dialed;Hyun Black Shadow;ram;1.9
W7 Active Edition;20 dialed;Black, Licorice and Alpine White;ram;2.2
ROKR W6;20 dialed;;ram;1.9
MC55;256 MB;Black;128 MB RAM;3.5
ZN300;256 MB;Black;ram;
E11;30 dialed;Black;30 received;2.8
A3100;256 MB;Black;128 MB RAM;2.8
A3000;256 MB;Black;128 MB RAM;2.8
Tundra VA76r;256 MB;Grey;ram;2.2
W233 Renew;10 dialed;Green;10 received;1.6
COCKTAIL VE70;10 dialed;Mint, Tropical;ram;2.2
VE66;110 MB;;256 MB ROM;2.2
EM35;110 MB;Black;ram;2.2
Aura;110 MB;Silver;ram;1.55
Q 11;64 MB RAM;Black;128 MB Flash;2.4
VE538;64 MB RAM;Black;ram;2.0
RAZR2 V9x;64 MB RAM;Black;ram;2.2
ZN200;64 MB RAM;Licorice, Pink;ram;1.9
